timestamp,open,high,low,close
2026-03-24 10:02:00,45917.03,45966.91,45895.62,45963.52
2026-03-24 10:03:00,45959.45,45974.25,45947.08,45969.19
2026-03-24 10:04:00,45967.72,45989.98,45964.79,45989.98
2026-03-24 10:05:00,45990.82,45994.43,45934.56,45937.57
2026-03-24 10:06:00,45937.12,45979.72,45935.16,45977.30
2026-03-24 10:07:00,45980.46,46067.54,45980.40,46054.25
2026-03-24 10:08:00,46055.59,46056.22,46019.23,46033.33
2026-03-24 10:09:00,46038.47,46049.76,46031.48,46047.22
2026-03-24 10:10:00,46049.70,46078.81,46049.70,46067.43
2026-03-24 10:11:00,46066.67,46066.67,46051.40,46054.35
2026-03-24 10:12:00,46054.92,46059.90,46036.79,46037.03
2026-03-24 10:13:00,46036.19,46041.56,45976.67,45992.66
2026-03-24 10:14:00,45993.82,46058.67,45993.82,46057.59
2026-03-24 10:15:00,46056.87,46057.25,46017.89,46033.20
2026-03-24 10:16:00,46033.86,46033.86,45961.06,45961.06
2026-03-24 10:17:00,45961.12,45996.68,45961.12,45995.72
2026-03-24 10:18:00,45995.26,46014.27,45982.99,46012.74
2026-03-24 10:19:00,46013.77,46031.26,46013.77,46026.83
2026-03-24 10:20:00,46027.76,46027.76,46009.24,46024.63
2026-03-24 10:21:00,46025.41,46056.37,46020.46,46052.64
2026-03-24 10:22:00,46049.13,46052.15,45992.26,45994.73
2026-03-24 10:23:00,45994.83,46041.21,45994.83,46039.39
2026-03-24 10:24:00,46033.44,46047.79,46028.32,46035.94
2026-03-24 10:25:00,46036.68,46037.60,46002.53,46025.07
2026-03-24 10:26:00,46026.87,46065.06,46025.24,46056.74
2026-03-24 10:27:00,46057.14,46112.16,46056.56,46111.83
2026-03-24 10:28:00,46111.23,46134.56,46104.36,46118.03
2026-03-24 10:29:00,46116.12,46118.89,46060.77,46066.76
2026-03-24 10:30:00,46066.61,46102.50,46061.31,46098.37
2026-03-24 10:31:00,46096.62,46113.39,46093.04,46113.39
2026-03-24 10:32:00,46114.59,46125.49,46103.36,46125.49
2026-03-24 10:33:00,46127.25,46141.45,46116.73,46134.51
2026-03-24 10:34:00,46135.18,46142.18,46128.04,46129.84
2026-03-24 10:35:00,46131.03,46141.79,46110.58,46113.18
2026-03-24 10:36:00,46111.55,46111.80,46086.10,46086.10
2026-03-24 10:37:00,46088.12,46099.89,46071.47,46083.67
2026-03-24 10:38:00,46081.18,46089.08,46051.46,46087.81
2026-03-24 10:39:00,46088.46,46107.16,46078.00,46107.01
2026-03-24 10:40:00,46100.68,46122.50,46078.01,46122.50
2026-03-24 10:41:00,46121.91,46136.53,46114.57,46125.44
2026-03-24 10:42:00,46124.34,46160.13,46121.22,46160.13
2026-03-24 10:43:00,46160.84,46167.31,46133.46,46134.59
2026-03-24 10:44:00,46134.94,46172.39,46131.35,46172.39
2026-03-24 10:45:00,46173.78,46173.78,46090.01,46090.01
2026-03-24 10:46:00,46089.58,46181.90,46089.58,46177.95
2026-03-24 10:47:00,46178.08,46178.08,46125.44,46129.57
2026-03-24 10:48:00,46128.99,46133.11,46112.96,46114.40
2026-03-24 10:49:00,46113.22,46113.22,46066.38,46066.38
2026-03-24 10:50:00,46061.58,46062.33,46029.40,46029.40
2026-03-24 10:51:00,46029.77,46210.13,46029.77,46210.13
2026-03-24 10:52:00,46208.15,46310.19,46208.15,46231.68
2026-03-24 10:53:00,46234.46,46243.04,46195.31,46243.04
2026-03-24 10:54:00,46247.82,46269.70,46200.96,46211.06
2026-03-24 10:55:00,46207.64,46251.33,46193.78,46248.80
2026-03-24 10:56:00,46244.19,46287.21,46230.60,46280.40
2026-03-24 10:57:00,46278.64,46278.64,46259.60,46268.59
2026-03-24 10:58:00,46269.02,46269.02,46212.81,46245.19
2026-03-24 10:59:00,46245.53,46247.75,46116.38,46199.91
2026-03-24 11:00:00,46209.46,46298.14,46209.46,46268.06
2026-03-24 11:01:00,46269.55,46285.17,46249.48,46285.17
2026-03-24 11:02:00,46289.34,46293.75,46262.64,46288.68
2026-03-24 11:03:00,46288.62,46296.08,46271.81,46286.04
2026-03-24 11:04:00,46285.32,46285.37,46246.14,46263.60
2026-03-24 11:05:00,46261.68,46261.68,46237.23,46245.39
2026-03-24 11:06:00,46245.99,46256.63,46233.16,46253.41
2026-03-24 11:07:00,46255.31,46276.78,46255.31,46276.72
